🌀  CYCLONE
🍦  SOFT ICE CREAM
🍧  SHAVED ICE
🍨  ICE CREAM
🍩  DOUGHNUT
🍪  COOKIE
🍫  CHOCOLATE BAR
🍬  CANDY
🍭  LOLLIPOP
🍮  CUSTARD
🍯  HONEY POT
🍰  SHORTCAKE
🍱  BENTO BOX
🍲  POT OF FOOD
🍳  COOKING
🍴  FORK AND KNIFE
🍵  TEACUP WITHOUT HANDLE
🍶  SAKE BOTTLE AND CUP
🍷  WINE GLASS
🍸  COCKTAIL GLASS
🍹  TROPICAL DRINK
🍺  BEER MUG
🍻  CLINKING BEER MUGS
🍼  BABY BOTTLE
🍽  FORK AND KNIFE WITH PLATE
🍾  BOTTLE WITH POPPING CORK
🍿  POPCORN
🎀  RIBBON
🎁  WRAPPED PRESENT
🎂  BIRTHDAY CAKE
🎃  JACK-O-LANTERN
🎄  CHRISTMAS TREE
🎅  FATHER CHRISTMAS
🎆  FIREWORKS
🎇  FIREWORK SPARKLER
🎈  BALLOON
🎉  PARTY POPPER
🎊  CONFETTI BALL
🎋  TANABATA TREE
🎌  CROSSED FLAGS
🎍  PINE DECORATION
🎎  JAPANESE DOLLS
🎏  CARP STREAMER
🎐  WIND CHIME
🎑  MOON VIEWING CEREMONY
🎒  SCHOOL SATCHEL
🎓  GRADUATION CAP
🎔  HEART WITH TIP ON THE LEFT
🎕  BOUQUET OF FLOWERS
🎖  MILITARY MEDAL
🎗  REMINDER RIBBON
🎘  MUSICAL KEYBOARD WITH JACKS
🎙  STUDIO MICROPHONE
🎚  LEVEL SLIDER
🎛  CONTROL KNOBS
🎜  BEAMED ASCENDING MUSICAL NOTES
🎝  BEAMED DESCENDING MUSICAL NOTES
🎞  FILM FRAMES
🎟  ADMISSION TICKETS
🎠  CAROUSEL HORSE
🎡  FERRIS WHEEL
🎢  ROLLER COASTER
🎣  FISHING POLE AND FISH
🎤  MICROPHONE
🎥  MOVIE CAMERA
🎦  CINEMA
🎧  HEADPHONE
🎨  ARTIST PALETTE
🎩  TOP HAT
🎪  CIRCUS TENT
🎫  TICKET
🎬  CLAPPER BOARD
🎭  PERFORMING ARTS
🎮  VIDEO GAME
🎯  DIRECT HIT
🎰  SLOT MACHINE
🎱  BILLIARDS
🎲  GAME DIE
🎳  BOWLING
🎴  FLOWER PLAYING CARDS
🎵  MUSICAL NOTE
🎶  MULTIPLE MUSICAL NOTES
🎷  SAXOPHONE
🎸  GUITAR
🎹  MUSICAL KEYBOARD
🎺  TRUMPET
🎻  VIOLIN
🎼  MUSICAL SCORE
🎽  RUNNING SHIRT WITH SASH
🎾  TENNIS RACQUET AND BALL
🎿  SKI AND SKI BOOT
🏀  BASKETBALL AND HOOP
🏁  CHEQUERED FLAG
🏂  SNOWBOARDER
🏃  RUNNER
🏄  SURFER
🏅  SPORTS MEDAL
🏆  TROPHY
🏇  HORSE RACING
🏈  AMERICAN FOOTBALL
🏉  RUGBY FOOTBALL
🏊  SWIMMER
🏋  WEIGHT LIFTER
🏌  GOLFER
🏍  RACING MOTORCYCLE
🏎  RACING CAR
🏏  CRICKET BAT AND BALL
🏐  VOLLEYBALL
🏑  FIELD HOCKEY STICK AND BALL
🏒  ICE HOCKEY STICK AND PUCK
🏓  TABLE TENNIS PADDLE AND BALL
🏔  SNOW CAPPED MOUNTAIN
🏕  CAMPING
🏖  BEACH WITH UMBRELLA
🏗  BUILDING CONSTRUCTION
🏘  HOUSE BUILDINGS
🏙  CITYSCAPE
🏚  DERELICT HOUSE BUILDING
🏛  CLASSICAL BUILDING
🏜  DESERT
🏝  DESERT ISLAND
🏞  NATIONAL PARK
🏟  STADIUM
🏠  HOUSE BUILDING
🏡  HOUSE WITH GARDEN
🏢  OFFICE BUILDING
🏣  JAPANESE POST OFFICE
🏤  EUROPEAN POST OFFICE
🏥  HOSPITAL
🏦  BANK
🏧  AUTOMATED TELLER MACHINE
🏨  HOTEL
🏩  LOVE HOTEL
🏪  CONVENIENCE STORE
🏫  SCHOOL
🏬  DEPARTMENT STORE
🏭  FACTORY
🏮  IZAKAYA LANTERN
🏯  JAPANESE CASTLE
🏰  EUROPEAN CASTLE
🏱  WHITE PENNANT
🏲  BLACK PENNANT
🏳  WAVING WHITE FLAG
🏴  WAVING BLACK FLAG
🏵  ROSETTE
🏶  BLACK ROSETTE
🏷  LABEL
🏸  BADMINTON RACQUET AND SHUTTLECOCK
🏹  BOW AND ARROW
🏺  AMPHORA
🏻  EMOJI MODIFIER FITZPATRICK TYPE-1-2
🏼  EMOJI MODIFIER FITZPATRICK TYPE-3
🏽  EMOJI MODIFIER FITZPATRICK TYPE-4
🏾  EMOJI MODIFIER FITZPATRICK TYPE-5
🏿  EMOJI MODIFIER FITZPATRICK TYPE-6
🐀  RAT
🐁  MOUSE
🐂  OX
🐃  WATER BUFFALO
🐄  COW
🐅  TIGER
🐆  LEOPARD
🐇  RABBIT
🐈  CAT
🐉  DRAGON
🐊  CROCODILE
🐋  WHALE
🐌  SNAIL
🐍  SNAKE
🐎  HORSE
🐏  RAM
🐐  GOAT
🐑  SHEEP
🐒  MONKEY
🐓  ROOSTER
🐔  CHICKEN
🐕  DOG
🐖  PIG
🐗  BOAR
🐘  ELEPHANT
🐙  OCTOPUS
🐚  SPIRAL SHELL
🐛  BUG
🐜  ANT
🐝  HONEYBEE
🐞  LADY BEETLE
🐟  FISH
🐠  TROPICAL FISH
🐡  BLOWFISH
🐢  TURTLE
🐣  HATCHING CHICK
🐤  BABY CHICK
🐥  FRONT-FACING BABY CHICK
🐦  BIRD
🐧  PENGUIN
🐨  KOALA
🐩  POODLE
🐪  DROMEDARY CAMEL
🐫  BACTRIAN CAMEL
🐬  DOLPHIN
🐭  MOUSE FACE
🐮  COW FACE
🐯  TIGER FACE
🐰  RABBIT FACE
🐱  CAT FACE
🐲  DRAGON FACE
🐳  SPOUTING WHALE
🐴  HORSE FACE
🐵  MONKEY FACE
🐶  DOG FACE
🐷  PIG FACE
🐸  FROG FACE
🐹  HAMSTER FACE
🐺  WOLF FACE
🐻  BEAR FACE
🐼  PANDA FACE
🐽  PIG NOSE
🐾  PAW PRINTS
🐿  CHIPMUNK
👀  EYES
👁  EYE
👂  EAR
👃  NOSE
👄  MOUTH
👅  TONGUE
👆  WHITE UP POINTING BACKHAND INDEX
👇  WHITE DOWN POINTING BACKHAND INDEX
👈  WHITE LEFT POINTING BACKHAND INDEX
👉  WHITE RIGHT POINTING BACKHAND INDEX
👊  FISTED HAND SIGN
👋  WAVING HAND SIGN
👌  OK HAND SIGN
👍  THUMBS UP SIGN
👎  THUMBS DOWN SIGN
👏  CLAPPING HANDS SIGN
👐  OPEN HANDS SIGN
👑  CROWN
👒  WOMANS HAT
👓  EYEGLASSES
👔  NECKTIE
👕  T-SHIRT
👖  JEANS
👗  DRESS
👘  KIMONO
👙  BIKINI
👚  WOMANS CLOTHES
👛  PURSE
👜  HANDBAG
👝  POUCH
👞  MANS SHOE
👟  ATHLETIC SHOE
👠  HIGH-HEELED SHOE
👡  WOMANS SANDAL
👢  WOMANS BOOTS
👣  FOOTPRINTS
👤  BUST IN SILHOUETTE
👥  BUSTS IN SILHOUETTE
👦  BOY
👧  GIRL
👨  MAN
👩  WOMAN
👪  FAMILY
👫  MAN AND WOMAN HOLDING HANDS
👬  TWO MEN HOLDING HANDS
👭  TWO WOMEN HOLDING HANDS
👮  POLICE OFFICER
👯  WOMAN WITH BUNNY EARS
👰  BRIDE WITH VEIL
👱  PERSON WITH BLOND HAIR
👲  MAN WITH GUA PI MAO
👳  MAN WITH TURBAN
👴  OLDER MAN
👵  OLDER WOMAN
👶  BABY
👷  CONSTRUCTION WORKER
👸  PRINCESS
👹  JAPANESE OGRE
👺  JAPANESE GOBLIN
👻  GHOST
👼  BABY ANGEL
👽  EXTRATERRESTRIAL ALIEN
👾  ALIEN MONSTER
👿  IMP
💀  SKULL
💁  INFORMATION DESK PERSON
💂  GUARDSMAN
💃  DANCER
💄  LIPSTICK
💅  NAIL POLISH
💆  FACE MASSAGE
💇  HAIRCUT
💈  BARBER POLE
💉  SYRINGE
💊  PILL
💋  KISS MARK
💌  LOVE LETTER
💍  RING
💎  GEM STONE
💏  KISS
💐  BOUQUET
💑  COUPLE WITH HEART
💒  WEDDING
💓  BEATING HEART
💔  BROKEN HEART
💕  TWO HEARTS
💖  SPARKLING HEART
💗  GROWING HEART
💘  HEART WITH ARROW
💙  BLUE HEART
💚  GREEN HEART
💛  YELLOW HEART
💜  PURPLE HEART
💝  HEART WITH RIBBON
💞  REVOLVING HEARTS
💟  HEART DECORATION
💠  DIAMOND SHAPE WITH A DOT INSIDE
💡  ELECTRIC LIGHT BULB
💢  ANGER SYMBOL
💣  BOMB
💤  SLEEPING SYMBOL
💥  COLLISION SYMBOL
💦  SPLASHING SWEAT SYMBOL
💧  DROPLET
💨  DASH SYMBOL
💩  PILE OF POO
💪  FLEXED BICEPS
💫  DIZZY SYMBOL
💬  SPEECH BALLOON
💭  THOUGHT BALLOON
💮  WHITE FLOWER
💯  HUNDRED POINTS SYMBOL
💰  MONEY BAG
💱  CURRENCY EXCHANGE
💲  HEAVY DOLLAR SIGN
💳  CREDIT CARD
💴  BANKNOTE WITH YEN SIGN
💵  BANKNOTE WITH DOLLAR SIGN
💶  BANKNOTE WITH EURO SIGN
💷  BANKNOTE WITH POUND SIGN
💸  MONEY WITH WINGS
💹  CHART WITH UPWARDS TREND AND YEN SIGN
💺  SEAT
💻  PERSONAL COMPUTER
💼  BRIEFCASE
💽  MINIDISC
💾  FLOPPY DISK
💿  OPTICAL DISC
📀  DVD
📁  FILE FOLDER
📂  OPEN FILE FOLDER
📃  PAGE WITH CURL
📄  PAGE FACING UP
📅  CALENDAR
📆  TEAR-OFF CALENDAR
📇  CARD INDEX
📈  CHART WITH UPWARDS TREND
📉  CHART WITH DOWNWARDS TREND
📊  BAR CHART
📋  CLIPBOARD
📌  PUSHPIN
📍  ROUND PUSHPIN
📎  PAPERCLIP
📏  STRAIGHT RULER
📐  TRIANGULAR RULER
📑  BOOKMARK TABS
📒  LEDGER
📓  NOTEBOOK
📔  NOTEBOOK WITH DECORATIVE COVER
📕  CLOSED BOOK
📖  OPEN BOOK
📗  GREEN BOOK
📘  BLUE BOOK
📙  ORANGE BOOK
📚  BOOKS
📛  NAME BADGE
📜  SCROLL
📝  MEMO
📞  TELEPHONE RECEIVER
📟  PAGER
📠  FAX MACHINE
📡  SATELLITE ANTENNA
📢  PUBLIC ADDRESS LOUDSPEAKER
📣  CHEERING MEGAPHONE
📤  OUTBOX TRAY
📥  INBOX TRAY
📦  PACKAGE
📧  E-MAIL SYMBOL
📨  INCOMING ENVELOPE
📩  ENVELOPE WITH DOWNWARDS ARROW ABOVE
📪  CLOSED MAILBOX WITH LOWERED FLAG
📫  CLOSED MAILBOX WITH RAISED FLAG
📬  OPEN MAILBOX WITH RAISED FLAG
📭  OPEN MAILBOX WITH LOWERED FLAG
📮  POSTBOX
📯  POSTAL HORN
📰  NEWSPAPER
📱  MOBILE PHONE
📲  MOBILE PHONE WITH RIGHTWARDS ARROW AT LEFT
📳  VIBRATION MODE
📴  MOBILE PHONE OFF
📵  NO MOBILE PHONES
📶  ANTENNA WITH BARS
📷  CAMERA
📸  CAMERA WITH FLASH
📹  VIDEO CAMERA
📺  TELEVISION
📻  RADIO
📼  VIDEOCASSETTE
📽  FILM PROJECTOR
📾  PORTABLE STEREO
📿  PRAYER BEADS
🔀  TWISTED RIGHTWARDS ARROWS
🔁  CLOCKWISE RIGHTWARDS AND LEFTWARDS OPEN CIRCLE ARROWS
🔂  CLOCKWISE RIGHTWARDS AND LEFTWARDS OPEN CIRCLE ARROWS WITH CIRCLED ONE OVERLAY
🔃  CLOCKWISE DOWNWARDS AND UPWARDS OPEN CIRCLE ARROWS
🔄  ANTICLOCKWISE DOWNWARDS AND UPWARDS OPEN CIRCLE ARROWS
🔅  LOW BRIGHTNESS SYMBOL
🔆  HIGH BRIGHTNESS SYMBOL
🔇  SPEAKER WITH CANCELLATION STROKE
🔈  SPEAKER
🔉  SPEAKER WITH ONE SOUND WAVE
🔊  SPEAKER WITH THREE SOUND WAVES
🔋  BATTERY
🔌  ELECTRIC PLUG
🔍  LEFT-POINTING MAGNIFYING GLASS
🔎  RIGHT-POINTING MAGNIFYING GLASS
🔏  LOCK WITH INK PEN
🔐  CLOSED LOCK WITH KEY
🔑  KEY
🔒  LOCK
🔓  OPEN LOCK
🔔  BELL
🔕  BELL WITH CANCELLATION STROKE
🔖  BOOKMARK
🔗  LINK SYMBOL
🔘  RADIO BUTTON
🔙  BACK WITH LEFTWARDS ARROW ABOVE
🔚  END WITH LEFTWARDS ARROW ABOVE
🔛  ON WITH EXCLAMATION MARK WITH LEFT RIGHT ARROW ABOVE
🔜  SOON WITH RIGHTWARDS ARROW ABOVE
🔝  TOP WITH UPWARDS ARROW ABOVE
🔞  NO ONE UNDER EIGHTEEN SYMBOL
🔟  KEYCAP TEN
🔠  INPUT SYMBOL FOR LATIN CAPITAL LETTERS
🔡  INPUT SYMBOL FOR LATIN SMALL LETTERS
🔢  INPUT SYMBOL FOR NUMBERS
🔣  INPUT SYMBOL FOR SYMBOLS
🔤  INPUT SYMBOL FOR LATIN LETTERS
🔥  FIRE
🔦  ELECTRIC TORCH
🔧  WRENCH
🔨  HAMMER
🔩  NUT AND BOLT
🔪  HOCHO
🔫  PISTOL
🔬  MICROSCOPE
🔭  TELESCOPE
🔮  CRYSTAL BALL
🔯  SIX POINTED STAR WITH MIDDLE DOT
🔰  JAPANESE SYMBOL FOR BEGINNER
🔱  TRIDENT EMBLEM
🔲  BLACK SQUARE BUTTON
🔳  WHITE SQUARE BUTTON
🔴  LARGE RED CIRCLE
🔵  LARGE BLUE CIRCLE
🔶  LARGE ORANGE DIAMOND
🔷  LARGE BLUE DIAMOND
🔸  SMALL ORANGE DIAMOND
🔹  SMALL BLUE DIAMOND
🔺  UP-POINTING RED TRIANGLE
🔻  DOWN-POINTING RED TRIANGLE
🔼  UP-POINTING SMALL RED TRIANGLE
🔽  DOWN-POINTING SMALL RED TRIANGLE
🔾  LOWER RIGHT SHADOWED WHITE CIRCLE
🔿  UPPER RIGHT SHADOWED WHITE CIRCLE
🕀  CIRCLED CROSS POMMEE
🕁  CROSS POMMEE WITH HALF-CIRCLE BELOW
🕂  CROSS POMMEE
🕃  NOTCHED LEFT SEMICIRCLE WITH THREE DOTS
🕄  NOTCHED RIGHT SEMICIRCLE WITH THREE DOTS
🕅  SYMBOL FOR MARKS CHAPTER
🕆  WHITE LATIN CROSS
🕇  HEAVY LATIN CROSS
🕈  CELTIC CROSS
🕉  OM SYMBOL
🕊  DOVE OF PEACE
🕋  KAABA
🕌  MOSQUE
🕍  SYNAGOGUE
🕎  MENORAH WITH NINE BRANCHES
🕏  BOWL OF HYGIEIA
🕐  CLOCK FACE ONE OCLOCK
🕑  CLOCK FACE TWO OCLOCK
🕒  CLOCK FACE THREE OCLOCK
🕓  CLOCK FACE FOUR OCLOCK
🕔  CLOCK FACE FIVE OCLOCK
🕕  CLOCK FACE SIX OCLOCK
🕖  CLOCK FACE SEVEN OCLOCK
🕗  CLOCK FACE EIGHT OCLOCK
🕘  CLOCK FACE NINE OCLOCK
🕙  CLOCK FACE TEN OCLOCK
🕚  CLOCK FACE ELEVEN OCLOCK
🕛  CLOCK FACE TWELVE OCLOCK
🕜  CLOCK FACE ONE-THIRTY
🕝  CLOCK FACE TWO-THIRTY
🕞  CLOCK FACE THREE-THIRTY
🕟  CLOCK FACE FOUR-THIRTY
🕠  CLOCK FACE FIVE-THIRTY
🕡  CLOCK FACE SIX-THIRTY
🕢  CLOCK FACE SEVEN-THIRTY
🕣  CLOCK FACE EIGHT-THIRTY
🕤  CLOCK FACE NINE-THIRTY
🕥  CLOCK FACE TEN-THIRTY
🕦  CLOCK FACE ELEVEN-THIRTY
🕧  CLOCK FACE TWELVE-THIRTY
🕨  RIGHT SPEAKER
🕩  RIGHT SPEAKER WITH ONE SOUND WAVE
🕪  RIGHT SPEAKER WITH THREE SOUND WAVES
🕫  BULLHORN
🕬  BULLHORN WITH SOUND WAVES
🕭  RINGING BELL
🕮  BOOK
🕯  CANDLE
🕰  MANTELPIECE CLOCK
🕱  BLACK SKULL AND CROSSBONES
🕲  NO PIRACY
🕳  HOLE
🕴  MAN IN BUSINESS SUIT LEVITATING
🕵  SLEUTH OR SPY
🕶  DARK SUNGLASSES
🕷  SPIDER
🕸  SPIDER WEB
🕹  JOYSTICK
🕺  MAN DANCING
🕻  LEFT HAND TELEPHONE RECEIVER
🕼  TELEPHONE RECEIVER WITH PAGE
🕽  RIGHT HAND TELEPHONE RECEIVER
🕾  WHITE TOUCHTONE TELEPHONE
🕿  BLACK TOUCHTONE TELEPHONE
🖀  TELEPHONE ON TOP OF MODEM
🖁  CLAMSHELL MOBILE PHONE
🖂  BACK OF ENVELOPE
🖃  STAMPED ENVELOPE
🖄  ENVELOPE WITH LIGHTNING
🖅  FLYING ENVELOPE
🖆  PEN OVER STAMPED ENVELOPE
🖇  LINKED PAPERCLIPS
🖈  BLACK PUSHPIN
🖉  LOWER LEFT PENCIL
🖊  LOWER LEFT BALLPOINT PEN
🖋  LOWER LEFT FOUNTAIN PEN
🖌  LOWER LEFT PAINTBRUSH
🖍  LOWER LEFT CRAYON
🖎  LEFT WRITING HAND
🖏  TURNED OK HAND SIGN
🖐  RAISED HAND WITH FINGERS SPLAYED
🖑  REVERSED RAISED HAND WITH FINGERS SPLAYED
🖒  REVERSED THUMBS UP SIGN
🖓  REVERSED THUMBS DOWN SIGN
🖔  REVERSED VICTORY HAND
🖕  REVERSED HAND WITH MIDDLE FINGER EXTENDED
🖖  RAISED HAND WITH PART BETWEEN MIDDLE AND RING FINGERS
🖗  WHITE DOWN POINTING LEFT HAND INDEX
🖘  SIDEWAYS WHITE LEFT POINTING INDEX
🖙  SIDEWAYS WHITE RIGHT POINTING INDEX
🖚  SIDEWAYS BLACK LEFT POINTING INDEX
🖛  SIDEWAYS BLACK RIGHT POINTING INDEX
🖜  BLACK LEFT POINTING BACKHAND INDEX
🖝  BLACK RIGHT POINTING BACKHAND INDEX
🖞  SIDEWAYS WHITE UP POINTING INDEX
🖟  SIDEWAYS WHITE DOWN POINTING INDEX
🖠  SIDEWAYS BLACK UP POINTING INDEX
🖡  SIDEWAYS BLACK DOWN POINTING INDEX
🖢  BLACK UP POINTING BACKHAND INDEX
🖣  BLACK DOWN POINTING BACKHAND INDEX
🖤  BLACK HEART
🖥  DESKTOP COMPUTER
🖦  KEYBOARD AND MOUSE
🖧  THREE NETWORKED COMPUTERS
🖨  PRINTER
🖩  POCKET CALCULATOR
🖪  BLACK HARD SHELL FLOPPY DISK
🖫  WHITE HARD SHELL FLOPPY DISK
🖬  SOFT SHELL FLOPPY DISK
🖭  TAPE CARTRIDGE
🖮  WIRED KEYBOARD
🖯  ONE BUTTON MOUSE
🖰  TWO BUTTON MOUSE
🖱  THREE BUTTON MOUSE
🖲  TRACKBALL
🖳  OLD PERSONAL COMPUTER
🖴  HARD DISK
🖵  SCREEN
🖶  PRINTER ICON
🖷  FAX ICON
🖸  OPTICAL DISC ICON
🖹  DOCUMENT WITH TEXT
🖺  DOCUMENT WITH TEXT AND PICTURE
🖻  DOCUMENT WITH PICTURE
🖼  FRAME WITH PICTURE
🖽  FRAME WITH TILES
🖾  FRAME WITH AN X
🖿  BLACK FOLDER
🗀  FOLDER
🗁  OPEN FOLDER
🗂  CARD INDEX DIVIDERS
🗃  CARD FILE BOX
🗄  FILE CABINET
🗅  EMPTY NOTE
🗆  EMPTY NOTE PAGE
🗇  EMPTY NOTE PAD
🗈  NOTE
🗉  NOTE PAGE
🗊  NOTE PAD
🗋  EMPTY DOCUMENT
🗌  EMPTY PAGE
🗍  EMPTY PAGES
🗎  DOCUMENT
🗏  PAGE
🗐  PAGES
🗑  WASTEBASKET
🗒  SPIRAL NOTE PAD
🗓  SPIRAL CALENDAR PAD
🗔  DESKTOP WINDOW
🗕  MINIMIZE
🗖  MAXIMIZE
🗗  OVERLAP
🗘  CLOCKWISE RIGHT AND LEFT SEMICIRCLE ARROWS
🗙  CANCELLATION X
🗚  INCREASE FONT SIZE SYMBOL
🗛  DECREASE FONT SIZE SYMBOL
🗜  COMPRESSION
🗝  OLD KEY
🗞  ROLLED-UP NEWSPAPER
🗟  PAGE WITH CIRCLED TEXT
🗠  STOCK CHART
🗡  DAGGER KNIFE
🗢  LIPS
🗣  SPEAKING HEAD IN SILHOUETTE
🗤  THREE RAYS ABOVE
🗥  THREE RAYS BELOW
🗦  THREE RAYS LEFT
🗧  THREE RAYS RIGHT
🗨  LEFT SPEECH BUBBLE
🗩  RIGHT SPEECH BUBBLE
🗪  TWO SPEECH BUBBLES
🗫  THREE SPEECH BUBBLES
🗬  LEFT THOUGHT BUBBLE
🗭  RIGHT THOUGHT BUBBLE
🗮  LEFT ANGER BUBBLE
🗯  RIGHT ANGER BUBBLE
🗰  MOOD BUBBLE
🗱  LIGHTNING MOOD BUBBLE
🗲  LIGHTNING MOOD
🗳  BALLOT BOX WITH BALLOT
🗴  BALLOT SCRIPT X
🗵  BALLOT BOX WITH SCRIPT X
🗶  BALLOT BOLD SCRIPT X
🗷  BALLOT BOX WITH BOLD SCRIPT X
🗸  LIGHT CHECK MARK
🗹  BALLOT BOX WITH BOLD CHECK
🗺  WORLD MAP
🗻  MOUNT FUJI
🗼  TOKYO TOWER
🗽  STATUE OF LIBERTY
🗾  SILHOUETTE OF JAPAN
🗿  MOYAI
😀  GRINNING FACE
😁  GRINNING FACE WITH SMILING EYES
😂  FACE WITH TEARS OF JOY
😃  SMILING FACE WITH OPEN MOUTH
😄  SMILING FACE WITH OPEN MOUTH AND SMILING EYES
😅  SMILING FACE WITH OPEN MOUTH AND COLD SWEAT
😆  SMILING FACE WITH OPEN MOUTH AND TIGHTLY-CLOSED EYES
😇  SMILING FACE WITH HALO
😈  SMILING FACE WITH HORNS
😉  WINKING FACE
😊  SMILING FACE WITH SMILING EYES
😋  FACE SAVOURING DELICIOUS FOOD
😌  RELIEVED FACE
😍  SMILING FACE WITH HEART-SHAPED EYES
😎  SMILING FACE WITH SUNGLASSES
😏  SMIRKING FACE
😐  NEUTRAL FACE
😑  EXPRESSIONLESS FACE
😒  UNAMUSED FACE
😓  FACE WITH COLD SWEAT
😔  PENSIVE FACE
😕  CONFUSED FACE
😖  CONFOUNDED FACE
😗  KISSING FACE
😘  FACE THROWING A KISS
😙  KISSING FACE WITH SMILING EYES
😚  KISSING FACE WITH CLOSED EYES
😛  FACE WITH STUCK-OUT TONGUE
😜  FACE WITH STUCK-OUT TONGUE AND WINKING EYE
😝  FACE WITH STUCK-OUT TONGUE AND TIGHTLY-CLOSED EYES
😞  DISAPPOINTED FACE
😟  WORRIED FACE
😠  ANGRY FACE
😡  POUTING FACE
😢  CRYING FACE
😣  PERSEVERING FACE
😤  FACE WITH LOOK OF TRIUMPH
😥  DISAPPOINTED BUT RELIEVED FACE
😦  FROWNING FACE WITH OPEN MOUTH
😧  ANGUISHED FACE
😨  FEARFUL FACE
😩  WEARY FACE
😪  SLEEPY FACE
😫  TIRED FACE
😬  GRIMACING FACE
😭  LOUDLY CRYING FACE
😮  FACE WITH OPEN MOUTH
😯  HUSHED FACE
😰  FACE WITH OPEN MOUTH AND COLD SWEAT
😱  FACE SCREAMING IN FEAR
😲  ASTONISHED FACE
😳  FLUSHED FACE
😴  SLEEPING FACE
😵  DIZZY FACE
😶  FACE WITHOUT MOUTH
😷  FACE WITH MEDICAL MASK
😸  GRINNING CAT FACE WITH SMILING EYES
😹  CAT FACE WITH TEARS OF JOY
😺  SMILING CAT FACE WITH OPEN MOUTH
😻  SMILING CAT FACE WITH HEART-SHAPED EYES
😼  CAT FACE WITH WRY SMILE
😽  KISSING CAT FACE WITH CLOSED EYES
😾  POUTING CAT FACE
😿  CRYING CAT FACE
🙀  WEARY CAT FACE
🙁  SLIGHTLY FROWNING FACE
🙂  SLIGHTLY SMILING FACE
🙃  UPSIDE-DOWN FACE
🙄  FACE WITH ROLLING EYES
🙅  FACE WITH NO GOOD GESTURE
🙆  FACE WITH OK GESTURE
🙇  PERSON BOWING DEEPLY
🙈  SEE-NO-EVIL MONKEY
🙉  HEAR-NO-EVIL MONKEY
🙊  SPEAK-NO-EVIL MONKEY
🙋  HAPPY PERSON RAISING ONE HAND
🙌  PERSON RAISING BOTH HANDS IN CELEBRATION
🙍  PERSON FROWNING
🙎  PERSON WITH POUTING FACE
🙏  PERSON WITH FOLDED HANDS
🚀  ROCKET
🚁  HELICOPTER
🚂  STEAM LOCOMOTIVE
🚃  RAILWAY CAR
🚄  HIGH-SPEED TRAIN
